fund_code,fund_name,period_end,report_type,report_send_date,official_upload_date,instance_id,official_pdf_url,source_kind,crosscheck_url,holder_table_page,source_page_numbers,total_shares,comparable_institution_shares,individual_shares,feeder_shares,identified_national_team_shares,identified_national_team_account_count,national_team_status
159919,嘉实沪深300ETF,2013-12-31,annual,2014-03-26,2014-03-26,public_report_mirror-159919-2013-12-31,https://pdf.dfcfw.com/pdf/H2_AN201404010005359012_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=2b6b557848717a6e4366553d,53,53;54,11751406477,1156079375,1006381947,9588945155,0,0,not_identified
510300,华泰柏瑞沪深300ETF,2013-12-31,annual,2014-03-26,2014-03-26,manager_official_pdf-510300-2013-12-31,https://www.huatai-pb.com/data/20140326102454301.pdf,manager_official_pdf,https://www.huatai-pb.com/news/information/fundReport/index.html,57,57;58,6047587690,5101222402,900428988,45936300,1274024331.00,3,lower_bound
510310,易方达沪深300ETF,2013-12-31,annual,2014-03-28,2014-03-28,manager_official_pdf-510310-2013-12-31,https://cdn.efunds.com.cn/owch/data/2014/03/20140327203501_0_30.pdf,manager_official_pdf,https://www.efunds.com.cn/c/162/162663.shtml,51,51;52,6114107358.00,906615543.00,61246110.00,5146245705.00,0,0,not_identified
510330,华夏沪深300ETF,2013-12-31,annual,2014-03-26,2014-03-26,public_report_mirror-510330-2013-12-31,https://pdf.dfcfw.com/pdf/H2_AN201403250005314869_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201403250005314869.html",51,51;52,7980549828,1014847132,39315781,6926386915,888470969,1,lower_bound
159915,易方达创业板ETF,2014-06-30,interim,2014-08-27,2014-08-27,manager_official_pdf-159915-2014-06-30,https://cdn.efunds.com.cn/owch/data/2014/08/20140826185724_0_15.pdf,manager_official_pdf,https://www.efunds.com.cn/c/163/163499.shtml,38,38;39,1173454936,227950637,342453034,603051265,0,0,not_identified
159919,嘉实沪深300ETF,2014-06-30,interim,2014-08-25,2014-08-25,public_report_mirror-159919-2014-06-30,https://pdf.dfcfw.com/pdf/H2_AN201408250006764882_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=74692b4a67504f6f4b35593d,45,45;46,11845906477,1843699464,882154484,9120052529,0,0,not_identified
510300,华泰柏瑞沪深300ETF,2014-06-30,interim,2014-08-25,2014-08-25,manager_official_pdf-510300-2014-06-30,https://www.huatai-pb.com/data/20140825093813300.pdf,manager_official_pdf,https://www.huatai-pb.com/news/information/fundReport/index.html,49,49;50,8086987690,7069507675,985213415,32266600,2071621305.00,2,lower_bound
510310,易方达沪深300ETF,2014-06-30,interim,2014-08-27,2014-08-27,manager_official_pdf-510310-2014-06-30,https://cdn.efunds.com.cn/owch/data/2014/08/20140826201138_0_36.pdf,manager_official_pdf,https://www.efunds.com.cn/c/163/163519.shtml,44,44;46,5120307415,111377569,49031574,4959898272,0,0,not_identified
510330,华夏沪深300ETF,2014-06-30,interim,2014-08-25,2014-08-25,public_report_mirror-510330-2014-06-30,https://pdf.dfcfw.com/pdf/H2_AN201408240006760668_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201408240006760668.html",45,45;46,8906649828,2171899759,43369296,6691380773,1956681259,1,lower_bound
159915,易方达创业板ETF,2014-12-31,annual,2015-03-27,2015-03-27,manager_official_pdf-159915-2014-12-31,https://cdn.efunds.com.cn/owch/data/notice/20150327/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912014%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/165/165013.shtml,49,49;50,881454936,154985786,382719814,343749336,0,0,not_identified
159919,嘉实沪深300ETF,2014-12-31,annual,2015-03-31,2015-03-31,public_report_mirror-159919-2014-12-31,https://pdf.dfcfw.com/pdf/H2_AN201503310009017326_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=5449554c4f6a4c462b35513d,53,53;54;55,12457906477,3119730794,629761879,8708413804,0,0,not_identified
510300,华泰柏瑞沪深300ETF,2014-12-31,annual,2015-03-31,2015-03-31,manager_official_pdf-510300-2014-12-31,https://www.huatai-pb.com/data/20150331092526300.pdf,manager_official_pdf,https://www.huatai-pb.com/news/information/fundReport/index.html,59,59;60,9494587690,8432043120,1035069326,27475244,1304035100.00,2,lower_bound
510310,易方达沪深300ETF,2014-12-31,annual,2015-03-27,2015-03-27,manager_official_pdf-510310-2014-12-31,https://cdn.efunds.com.cn/owch/data/notice/20150327/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912014%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/164/164907.shtml,56,56;57,5000700345,109134947,67687819,4823877579,0,0,not_identified
510330,华夏沪深300ETF,2014-12-31,annual,2015-03-31,2015-03-31,public_report_mirror-510330-2014-12-31,https://pdf.dfcfw.com/pdf/H2_AN201503310009009261_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201503310009009261.html",53,53,8055249828,2041839979,56813666,5956596183,1324081159,1,lower_bound
159915,易方达创业板ETF,2015-06-30,interim,2015-08-26,2015-08-25,manager_official_pdf-159915-2015-06-30,https://cdn.efunds.com.cn/owch/data/notice/20150825/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912015%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/166/166343.shtml,39,39;40,1397454936,579803448,568561153,249090335,0,0,not_identified
159919,嘉实沪深300ETF,2015-06-30,interim,2015-08-29,2015-08-29,public_report_mirror-159919-2015-06-30,https://pdf.dfcfw.com/pdf/H2_AN201508290010663468_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=594176764136444c4f42773d,48,48;49,6120106477,1274977956,409876154,4435252367,0,0,not_identified
510300,华泰柏瑞沪深300ETF,2015-06-30,interim,2015-08-29,2015-08-29,public_report_mirror-510300-2015-06-30,https://pdf.dfcfw.com/pdf/H2_AN201508310010668453_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510300,AN201508310010668453.html",53,53;54,5845987690,5187245893,644176553,14565244,523271767.00,1,lower_bound
510310,易方达沪深300ETF,2015-06-30,interim,2015-08-26,2015-08-25,manager_official_pdf-510310-2015-06-30,https://cdn.efunds.com.cn/owch/data/notice/20150825/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912015%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/166/166387.shtml,45,45;47,2430307415,51729192,71437589,2307140634,0,0,not_identified
510330,华夏沪深300ETF,2015-06-30,interim,2015-08-29,2015-08-29,public_report_mirror-510330-2015-06-30,https://pdf.dfcfw.com/pdf/H2_AN201508290010663287_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201508290010663287.html",46,46;47,3709149828,426422809,52923392,3229803627,262902700,1,lower_bound
159915,易方达创业板ETF,2015-12-31,annual,2016-03-25,2016-03-24,manager_official_pdf-159915-2015-12-31,https://cdn.efunds.com.cn/owch/data/notice/20160324/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912015%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/167/167814.shtml,52,52;53,1623454936,520173268,740464429,362817239,0,0,not_identified
159919,嘉实沪深300ETF,2015-12-31,annual,2016-03-29,2016-03-29,public_report_mirror-159919-2015-12-31,https://pdf.dfcfw.com/pdf/H2_AN201603290014114652_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=4d4866445a384d6e584f733d,57,57;58,5217406477,726017375,291716667,4199672435,75000000.00,1,lower_bound
510300,华泰柏瑞沪深300ETF,2015-12-31,annual,2016-03-29,2016-03-29,public_report_mirror-510300-2015-12-31,https://pdf.dfcfw.com/pdf/H2_AN201603290014117318_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510300,AN201603290014117318.html",61,61;62,5777587690,4894873790,477218580,405495320,2423958601.00,1,lower_bound
510310,易方达沪深300ETF,2015-12-31,annual,2016-03-25,2016-03-24,manager_official_pdf-510310-2015-12-31,https://cdn.efunds.com.cn/owch/data/notice/20160324/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912015%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/167/167831.shtml,57,57;58,2845831140,142286632,54653784,2648890724,0,0,not_identified
510330,华夏沪深300ETF,2015-12-31,annual,2016-03-29,2016-03-29,public_report_mirror-510330-2015-12-31,https://pdf.dfcfw.com/pdf/H2_AN201603290014113204_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201603290014113204.html",53,53;54,4650549828,1810168034,42835091,2797546703,1790942652,1,lower_bound
159915,易方达创业板ETF,2016-06-30,interim,2016-08-24,2016-08-23,manager_official_pdf-159915-2016-06-30,https://cdn.efunds.com.cn/owch/data/notice/20160823/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912016%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/168/168966.shtml,39,39;40,2511454936,1062771154,1003160351,445523431,0,0,not_identified
159919,嘉实沪深300ETF,2016-06-30,interim,2016-08-27,2016-08-27,public_report_mirror-159919-2016-06-30,https://pdf.dfcfw.com/pdf/H2_AN201608270017358855_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=69736d48566744596837303d,50,50;51,5375806477,658465332,287277375,4430063770,75000000.00,1,lower_bound
510300,华泰柏瑞沪深300ETF,2016-06-30,interim,2016-08-27,2016-08-27,public_report_mirror-510300-2016-06-30,https://pdf.dfcfw.com/pdf/H2_AN201608290017366117_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510300,AN201608290017366117.html",49,49;50,6605587690,5679157686,706986679,219443325,2423958601.00,1,lower_bound
510310,易方达沪深300ETF,2016-06-30,interim,2016-08-24,2016-08-23,manager_official_pdf-510310-2016-06-30,https://cdn.efunds.com.cn/owch/data/notice/20160823/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912016%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/169/169048.shtml,45,45;47,2913831140,145898367,54735880,2713196893,0,0,not_identified
510330,华夏沪深300ETF,2016-06-30,interim,2016-08-27,2016-08-27,public_report_mirror-510330-2016-06-30,https://pdf.dfcfw.com/pdf/H2_AN201608260017352538_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201608260017352538.html",46,46;47,4758549828,1902493343,45953063,2810103422,1790942652,1,lower_bound
159915,易方达创业板ETF,2016-12-31,annual,2017-03-31,2017-03-30,manager_official_pdf-159915-2016-12-31,https://cdn.efunds.com.cn/owch/data/notice/20170330/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912016%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/170/170628.shtml,52,52;53,2799454936,1039681386,1238658119,521115431,0,0,not_identified
159919,嘉实沪深300ETF,2016-12-31,annual,2017-03-29,2017-03-29,public_report_mirror-159919-2016-12-31,https://pdf.dfcfw.com/pdf/H2_AN201703290447591943_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=394562337650476c4675453d,60,60;61,4866406477,459157103,280366082,4126883292,75000000.00,1,lower_bound
510300,华泰柏瑞沪深300ETF,2016-12-31,annual,2017-03-29,2017-03-29,public_report_mirror-510300-2016-12-31,https://pdf.dfcfw.com/pdf/H2_AN201703290447591817_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510300,AN201703290447591817.html",62,62;63,5315887690,4471173362,732553959,112160369,2423958601.00,1,lower_bound
510310,易方达沪深300ETF,2016-12-31,annual,2017-03-31,2017-03-30,manager_official_pdf-510310-2016-12-31,https://cdn.efunds.com.cn/owch/data/notice/20170330/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912016%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/170/170601.shtml,59,59;60,2655831140,131120934,53246513,2471463693,0,0,not_identified
510330,华夏沪深300ETF,2016-12-31,annual,2017-03-29,2017-03-29,public_report_mirror-510330-2016-12-31,https://pdf.dfcfw.com/pdf/H2_AN201703290447693060_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201703290447693060.html",55,55;56,4576749828,1801877420,40797986,2734074422,1790942652,1,lower_bound
159915,易方达创业板ETF,2017-06-30,interim,2017-08-29,2017-08-28,manager_official_pdf-159915-2017-06-30,https://cdn.efunds.com.cn/owch/data/notice/20170828/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912017%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/172/172486.shtml,39,39;41,3412990587,1269934732,1442545959,700509896,0,0,not_identified
159919,嘉实沪深300ETF,2017-06-30,interim,2017-08-26,2017-08-26,public_report_mirror-159919-2017-06-30,https://pdf.dfcfw.com/pdf/H2_AN201708260829915119_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=595378617a6f56577230383d,66,66;67;68,4433506477,340677056,237938174,3854891247,75000000.00,1,lower_bound
510300,华泰柏瑞沪深300ETF,2017-06-30,interim,2017-08-26,2017-08-26,public_report_mirror-510300-2017-06-30,https://pdf.dfcfw.com/pdf/H2_AN201708250828156170_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510300,AN201708250828156170.html",68,68;70,5207887690,4484153658,639484032,84250000,2423958601.00,1,lower_bound
510310,易方达沪深300ETF,2017-06-30,interim,2017-08-29,2017-08-28,manager_official_pdf-510310-2017-06-30,https://cdn.efunds.com.cn/owch/data/notice/20170828/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912017%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/172/172464.shtml,47,47;49,2436307415,17783922,55159800,2363363693,0,0,not_identified
510330,华夏沪深300ETF,2017-06-30,interim,2017-08-26,2017-08-26,public_report_mirror-510330-2017-06-30,https://pdf.dfcfw.com/pdf/H2_AN201708260830025191_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201708260830025191.html",43,43;44,4360749828,1812031709,38235997,2510482122,1790942652.00,1,lower_bound
159915,易方达创业板ETF,2017-12-31,annual,2018-03-30,2018-03-29,manager_official_pdf-159915-2017-12-31,https://cdn.efunds.com.cn/owch/data/notice/20180329/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912017%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/176/176075.shtml,54,54;56,3073454936,461141238,1770549198,841764500,0,0,not_identified
159919,嘉实沪深300ETF,2017-12-31,annual,2018-03-28,2018-03-28,public_report_mirror-159919-2017-12-31,https://pdf.dfcfw.com/pdf/H2_AN201803281112577002_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=48487177454b486e6734413d,63,63;64,4165306477,280010773,246323568,3638972136,75000000.00,1,lower_bound
510300,华泰柏瑞沪深300ETF,2017-12-31,annual,2018-03-28,2018-03-28,manager_official_pdf-510300-2017-12-31,https://www.huatai-pb.com/upload/pdf/1522205963750-htbrhs300jyxkfszszqtzjj2017nndbg.pdf,manager_official_pdf,https://www.huatai-pb.com/news/information/fundReport/index.html,69,69;71,4983787690,4150517814,820774776,12495100,2423958601.00,1,lower_bound
510310,易方达沪深300ETF,2017-12-31,annual,2018-03-30,2018-03-29,manager_official_pdf-510310-2017-12-31,https://cdn.efunds.com.cn/owch/data/notice/20180329/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912017%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/176/176023.shtml,63,63;64,2380307415,15660868,77191954,2287454593,0,0,not_identified
510330,华夏沪深300ETF,2017-12-31,annual,2018-03-28,2018-03-28,public_report_mirror-510330-2017-12-31,https://pdf.dfcfw.com/pdf/H2_AN201803281112569570_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201803281112569570.html",51,51;52,4285149828,1822914483,41956923,2420278422,1790942652.00,1,lower_bound
159915,易方达创业板ETF,2018-06-30,interim,2018-08-28,2018-08-27,manager_official_pdf-159915-2018-06-30,https://cdn.efunds.com.cn/owch/data/notice/20180827/159915_%E6%98%93%E6%96%B9%E8%BE%BE%E5%88%9B%E4%B8%9A%E6%9D%BF%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912018%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/177/177758.shtml,42,42;43,8528029886,2496123975,4525882893,1506023018,0,0,not_identified
159919,嘉实沪深300ETF,2018-06-30,interim,2018-08-25,2018-08-25,public_report_mirror-159919-2018-06-30,https://pdf.dfcfw.com/pdf/H2_AN201808251182999052_1.pdf,public_report_mirror,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=325650736c4c622b5455383d,49,49;50,4182406477,274401819,298528537,3609476121,75000000.00,1,lower_bound
510300,华泰柏瑞沪深300ETF,2018-06-30,interim,2018-08-25,2018-08-25,manager_official_pdf-510300-2018-06-30,https://www.huatai-pb.com/upload/pdf/1535339711505-htbrhs300jyxkfszszqtzjj2018nbndbg.pdf,manager_official_pdf,https://www.huatai-pb.com/news/information/fundReport/index.html,58,58;60,6324787690,4991524763,1220907727,112355200,2423958601.00,1,lower_bound
510310,易方达沪深300ETF,2018-06-30,interim,2018-08-28,2018-08-27,manager_official_pdf-510310-2018-06-30,https://cdn.efunds.com.cn/owch/data/notice/20180827/510310_%E6%98%93%E6%96%B9%E8%BE%BE%E6%B2%AA%E6%B7%B1300%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E6%8C%87%E6%95%B0%E5%8F%91%E8%B5%B7%E5%BC%8F%E8%AF%81%E5%88%B8%E6%8A%95%E8%B5%84%E5%9F%BA%E9%87%912018%E5%B9%B4%E5%8D%8A%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf,manager_official_pdf,https://www.efunds.com.cn/c/177/177804.shtml,49,49;51,2566307415,18253606,111268090,2436785719,0,0,not_identified
510330,华夏沪深300ETF,2018-06-30,interim,2018-08-25,2018-08-25,public_report_mirror-510330-2018-06-30,https://pdf.dfcfw.com/pdf/H2_AN201808251182992632_1.pdf,public_report_mirror,"https://fund.eastmoney.com/gonggao/510330,AN201808251182992632.html",42,42;43,4605549828,1922702486,58381920,2624465422,1790942652.00,1,lower_bound
